name		        ref_lat	 ref_lon   stand_lon   d1_ewe   d1_esn   d2_i   d2_j   d2_ewe   d2_esn  d3_i   d3_j   d3_ewe   d3_esn   true_lat1   true_lat2   start_day   end_day   max_dom
longhorn		33.99	 -101.38   -101.0      125	125	 37     37     151      151	15	13	142	151	34.          35.        2020-01-01  2020-12-31	2
rockfalls		36.914   -97.454   -97.5       125      125      37     37     151      151     15      13      142     151     34.          35.        2020-01-01  2020-12-31  2
bobcat                  33.676   -98.93    -98.93      125      125      37     37     151      151     15      13      142     151     34.          35.        2020-01-01  2020-12-31  2                  
pilot_hill              40.988   -88.123    -98.93     125      125      37     37     151      151     15      13      142     151     34.          35.        2020-01-01  2020-12-31  2
morro_bay               35.584   -121.834   -122       125      125      32     32     178      178     15      13      142     151     34.          35.        2020-01-01  2020-12-31  2
spearville3             37.830   -99.85     -100       125      125      37     37     151      151     15      13      142     151     30.          45.        2020-01-01  2020-12-31  2
spinning_spur           35.01    -102.595   -102.589   125      125      32     32     178      178     15      13      142     151     30.          45.        2020-01-01  2020-12-31  2
slate_creek		36.70	 -97.23	    -97.23     125	125	 37	37     151	151     15      13      142     151     35.          40.        2020-01-01  2020-12-31  2
slate_creek_pre         36.70    -97.23     -97.23     125      125      37     37     151      151     15      13      142     151     35.          40.        2020-01-01  2020-12-31  2
wapsi			43.55	 -92.73     -92.73	125	125	37	37	151	151	15	13	142	151	40.	     45.	2020-01-01  2020-12-31  2
red_pine		44.43	 -96.33     -96.33	125	125	37	37	151	151     15      13      142     151     40.	     50.        2020-01-01  2020-12-31  2
fenton                  43.89    -95.95     -95.95      125     125     37      37      151     151     15      13      142     151     40.          50.        2020-01-01  2020-12-31  2
glacier                 42.85    -95.54     -95.54      125     125     37      37      151     151     15      13      142     151     40.          50.        2020-01-01  2020-12-31  2
national                42.00    -97.5      -97.5      625      400     37      37      151     151     15      13      142     151     30.          60.        2020-01-01  2020-12-31  1
livingston              40.939   -88.309    -88.309     125     125     37      37      151     151     15      13      142     151     40.          45.        2020-01-01  2020-12-31  2
cypress                 49.87   -110.347    -110.347    125     125     37      37      151     151     15      13      142     151     45.          55.        2020-01-01  2020-12-31  2
asow                    40.0     -72.8      -72.8       187     187     37      37      337     337     -1      -1      -1       -1     35.          45.        2020-01-01  2020-12-31  2
